,ts_code,name,market,publisher,category,base_date,base_point,list_date
366,850937.SI,其他交运设备Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
367,850941.SI,汽车服务Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
368,850942.SI,其他交运设备服务(申万),SW,申万研究,三级行业指数,19991230,1000.0,
369,851011.SI,交换设备(申万),SW,申万研究,其他,19991230,1000.0,
370,851012.SI,终端设备(申万),SW,申万研究,三级行业指数,19991230,1000.0,
371,851013.SI,通信传输设备(申万),SW,申万研究,三级行业指数,19991230,1000.0,
372,851014.SI,通信配套服务(申万),SW,申万研究,三级行业指数,20080605,1000.0,
373,851021.SI,计算机设备Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
374,851111.SI,冰箱(申万),SW,申万研究,三级行业指数,19991230,1000.0,
375,851112.SI,空调(申万),SW,申万研究,三级行业指数,19991230,1000.0,
376,851113.SI,洗衣机(申万),SW,申万研究,三级行业指数,19991230,1000.0,
377,851114.SI,小家电(申万),SW,申万研究,三级行业指数,19991230,1000.0,
378,851115.SI,家电零部件(申万),SW,申万研究,三级行业指数,19991230,1000.0,
379,851121.SI,彩电(申万),SW,申万研究,三级行业指数,19991230,1000.0,
380,851122.SI,其它视听器材(申万),SW,申万研究,三级行业指数,19991230,1000.0,
381,851211.SI,肉制品(申万),SW,申万研究,其他,19991230,1000.0,
382,851212.SI,制糖(申万),SW,申万研究,其他,19991230,1000.0,
383,851213.SI,食品综合(申万),SW,申万研究,其他,19991230,1000.0,
384,851221.SI,调味发酵品(申万),SW,申万研究,其他,19991230,1000.0,
385,851222.SI,乳品(申万),SW,申万研究,其他,19991230,1000.0,
386,851231.SI,白酒(申万),SW,申万研究,三级行业指数,19991230,1000.0,
387,851232.SI,啤酒(申万),SW,申万研究,三级行业指数,19991230,1000.0,
388,851233.SI,其他酒类(申万),SW,申万研究,三级行业指数,19991230,1000.0,
389,851234.SI,软饮料(申万),SW,申万研究,三级行业指数,19991230,1000.0,
390,851235.SI,葡萄酒(申万),SW,申万研究,三级行业指数,19991230,1000.0,
391,851236.SI,黄酒(申万),SW,申万研究,三级行业指数,19991230,,20140221
392,851241.SI,肉制品(申万),SW,申万研究,三级行业指数,19991230,1000.0,
393,851242.SI,调味发酵品(申万),SW,申万研究,三级行业指数,19991230,1000.0,
394,851243.SI,乳品(申万),SW,申万研究,三级行业指数,19991230,1000.0,
395,851244.SI,食品综合(申万),SW,申万研究,三级行业指数,19991230,1000.0,
396,851311.SI,毛纺(申万),SW,申万研究,三级行业指数,19991230,1000.0,
397,851312.SI,棉纺(申万),SW,申万研究,三级行业指数,19991230,1000.0,
398,851313.SI,丝绸(申万),SW,申万研究,三级行业指数,19991230,1000.0,
399,851314.SI,印染(申万),SW,申万研究,三级行业指数,19991230,1000.0,
400,851315.SI,辅料(申万),SW,申万研究,三级行业指数,19991230,1000.0,
401,851316.SI,其他纺织(申万),SW,申万研究,三级行业指数,19991230,1000.0,
402,851321.SI,服装Ⅲ(申万),SW,申万研究,其他,19991230,1000.0,
403,851322.SI,男装(申万),SW,申万研究,三级行业指数,19991230,1000.0,
404,851323.SI,女装(申万),SW,申万研究,三级行业指数,19991230,1000.0,
405,851324.SI,休闲服装(申万),SW,申万研究,三级行业指数,19991230,1000.0,
406,851325.SI,鞋帽(申万),SW,申万研究,三级行业指数,19991230,1000.0,
407,851326.SI,家纺(申万),SW,申万研究,三级行业指数,19991230,1000.0,
408,851327.SI,其他服装(申万),SW,申万研究,三级行业指数,19991230,1000.0,
409,851411.SI,造纸Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
410,851421.SI,包装印刷Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
411,851431.SI,其他轻工制造Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
412,851432.SI,家具(申万),SW,申万研究,三级行业指数,19991230,1000.0,
413,851433.SI,其他家用轻工(申万),SW,申万研究,三级行业指数,19991230,1000.0,
414,851434.SI,珠宝首饰(申万),SW,申万研究,三级行业指数,19991230,1000.0,
415,851435.SI,文娱用品(申万),SW,申万研究,三级行业指数,19991230,1000.0,
416,851441.SI,其他轻工制造Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
417,851511.SI,化学原料药(申万),SW,申万研究,三级行业指数,19991230,1000.0,
418,851512.SI,化学制剂(申万),SW,申万研究,三级行业指数,19991230,1000.0,
419,851513.SI,化学药(申万),SW,申万研究,其他,19991230,1000.0,
420,851521.SI,中药Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
421,851531.SI,生物制品Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
422,851541.SI,医药商业Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
423,851551.SI,医疗器械Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
424,851561.SI,医疗服务Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
425,851611.SI,火电(申万),SW,申万研究,三级行业指数,19991230,1000.0,
426,851612.SI,水电(申万),SW,申万研究,三级行业指数,19991230,1000.0,
427,851613.SI,燃机发电(申万),SW,申万研究,三级行业指数,19991230,1000.0,
428,851614.SI,热电(申万),SW,申万研究,三级行业指数,19991230,1000.0,
429,851615.SI,新能源发电(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
430,851621.SI,水务Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
431,851631.SI,燃气Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
432,851641.SI,环保工程及服务Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
433,851711.SI,港口Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
434,851721.SI,公交Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
435,851731.SI,高速公路Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
436,851741.SI,航空运输Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
437,851751.SI,机场Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
438,851761.SI,航运Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
439,851771.SI,铁路运输Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
440,851781.SI,物流Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
441,851811.SI,房地产开发Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
442,851821.SI,园区开发Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
443,851911.SI,银行Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
444,851921.SI,多元金融Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
445,851931.SI,证券Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
446,851941.SI,保险Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
447,852011.SI,百货零售(申万),SW,申万研究,三级行业指数,19991230,1000.0,
448,852012.SI,专业连锁(申万),SW,申万研究,三级行业指数,19991230,1000.0,
449,852013.SI,商业物业经营(申万),SW,申万研究,三级行业指数,19991230,1000.0,
450,852021.SI,贸易Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
451,852031.SI,百货(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
452,852032.SI,超市(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
453,852033.SI,多业态零售(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
454,852041.SI,专业连锁(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
455,852051.SI,一般物业经营(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
